id_abo,debut_abonnement,genre,type_abonnement,tarif_mensuel,age
29920607,2027-06-29,homme,2trajet_sem_tous,6,39
26531218,2027-08-17,femme,2trajet_sem_meca,3,21
1367043,2027-10-12,femme,2trajet_sem_tous,6,47
23759819,2027-07-24,femme,2trajet_sem_meca,3,26
25407806,2027-07-01,femme,2trajet_sem_tous,6,45
25131481,2027-07-11,femme,2trajet_sem_meca,3,25
26265973,2027-08-07,femme,2trajet_sem_meca,3,29
30702382,2027-10-22,femme,2trajet_sem_meca,3,28
17403620,2027-11-09,homme,10trajet_sem_tous,16,32
30471616,2028-05-16,,2trajet_sem_meca,3,31
8186821,2027-07-21,femme,illimité,25,43
14490821,2028-02-12,femme,2trajet_sem_meca,3,36
7716569,2027-09-09,femme,2trajet_sem_tous,6,43
13595321,2028-03-09,homme,2trajet_sem_meca,3,21
2280468,2027-11-05,homme,2trajet_sem_tous,6,47
23471057,2027-09-10,femme,2trajet_sem_tous,6,46
9846458,2027-09-07,homme,10trajet_sem_meca,8,27
14645183,2027-09-07,femme,10trajet_sem_meca,8,27
13588576,2027-07-14,,2trajet_sem_tous,6,49
14073464,2027-09-13,femme,2trajet_sem_meca,3,36
2696553,2027-12-09,femme,10trajet_sem_tous,16,35
10445012,2027-08-22,femme,10trajet_sem_tous,16,35
30299577,2027-09-02,femme,2trajet_sem_tous,6,55
17374089,2027-09-03,femme,2trajet_sem_meca,3,33
27232555,2027-08-13,homme,2trajet_sem_tous,6,35
8871589,2027-08-26,homme,2trajet_sem_tous,6,33
17781101,2027-09-28,,10trajet_sem_meca,8,29
20393730,2028-01-28,femme,2trajet_sem_tous,6,54
30041929,2027-08-16,homme,10trajet_sem_tous,16,35
5736574,2027-06-22,femme,2trajet_sem_tous,6,54
10852669,2028-03-26,femme,10trajet_sem_meca,8,28
25968354,2027-08-19,homme,2trajet_sem_meca,3,25
17097331,2027-07-25,femme,2trajet_sem_meca,3,24
13930862,2027-07-18,non-binaire,2trajet_sem_meca,3,33
30296571,2027-09-20,femme,2trajet_sem_meca,3,25
24314407,2027-06-29,homme,2trajet_sem_meca,3,22
20720561,2028-05-29,non-binaire,2trajet_sem_tous,6,43
6848918,2028-01-29,homme,2trajet_sem_meca,3,29
